Apartment ID	Bitrix Additional ID	Alma External ID	Alma Additional ID	Ext ID Match	Add ID Match	Has Add ID	Alma Name	Error
1040	962	1040	962	YES	YES	YES	Ap. 406. Socio Tower 1, apt. 1102	
1034	956	1034	956	YES	YES	YES	Ap. 402. Park Ridge Tower C, apt. 1716	
986	926	986	926	YES	YES	YES	Ap. 341. Marina Quay East, apt. 710	
972	912	972	912	YES	YES	YES	Ap. 394. Botanica Tower 1, apt. 1405	
964	904	964	904	YES	YES	YES	Ap. 311. La Vie, apt. 2203	
958	900	958	900	YES	YES	YES	Ap. 393. The Pinnacle, apt. 503	
952	894	952	894	YES	YES	YES	Ap. 387. Azizi Shaista, apt. 1103	
928	878	928	878	YES	YES	YES	Ap. 353. Azizi Shaista Residence, apt. 1010	
924	874	924	874	YES	YES	YES	Ap. 357. Armada 1, apt. 711	
914	864	914	864	YES	YES	YES	Ap. 339. Sulafa Tower, apt. 2014	
898	854	898	854	YES	YES	YES	Ap. 344. Ocean Heights, apt. 11A09	
868	830	868	830	YES	YES	YES	Ap. 323. Princess tower, apt. 1010	
864	826	864	826	YES	YES	YES	Ap. 326. Jumeirah Living Marina Gate, apt. 2504	
826	794	826	794	YES	YES	YES	Ap. 286. Sobha Creek Vistas Reserve, apt. 3110	
742	720	742	720	YES	YES	YES	Ap. 270. Al Wasl One Residence 1, apt. 3105	
736	714	736	714	YES	YES	YES	Ap. 269. Azizi Riviera 41, apt. 407	
734	712	734	712	YES	YES	YES	Ap. 257. Damac Heights, apt. 903	
630	678	630	678	YES	YES	YES	Ap. 258. Elite Residence, apt. 2009	
620	672	620	672	YES	YES	YES	Ap. 271. Bay Central 2, apt. 707	
592	670	592	670	YES	YES	YES	Ap. 256. Aykon City 2 Tower C, apt. 1809	
590	668	590	668	YES	YES	YES	Ap. 251. Binghatti Nova, apt. 406	
570	656	570	656	YES	YES	YES	Ap. 253. Prive Residence, apt. 1102	
568	654	568	654	YES	YES	YES	Ap. 239. Binghatti Nova, apt. 610	
550	636	550	636	YES	YES	YES	Ap. 241. Concorde tower 1, apt. 4102	
526	612	526	612	YES	YES	YES	Ap. 229. Prive Residence, apt. 1203	
480	564	480	564	YES	YES	YES	Ap. 220. Westwood by Imtiaz, apt. 610	
