External ID	Alma ID	Additional External ID	is_used	Name	Project	Has Additional ID
282	1861	370	true	Ap. 137. Jumeirah Bay Tower X1 - JLT, apt. 705	Dubai	YES
272	1871	360	true	Ap. 133. Al Waleed Paradise, apt. 1204	Dubai	YES
268	1870	356	true	Ap. 131. O2 Residences , apt. 201	Dubai	YES
266	1872	352	true	Ap. 130. Discovery Gardens 91, apt. 511	Dubai	YES
262	1874	348	true	Ap. 128. Dubai Gate 1, apt. 1006	Dubai	YES
260	1869	346	true	Ap. 127. Lake View, apt. 2801	Dubai	YES
254	1877	340	true	Ap. 124. Saba 3 Tower, apt. 1112	Dubai	YES
248	1882	334	true	Ap. 121. Sparkle Tower 2, apt. 605	Dubai	YES
246	1876	332	true	Ap. 120. Lakeside, apt. 610	Dubai	YES
240	1880	326	true	Ap. 117. Burj Royale, apt. 1805	Dubai	YES
234	1888	320	true	Ap. 114. Prime Views , apt. 339	Dubai	YES
232	1892	318	true	Ap. 113. Bay Central 1, apt. 1610	Dubai	YES
228	1894	314	true	Ap. 111. Lake View , apt. 605	Dubai	YES
224	1895	312	true	Ap. 109. Candace Aster, apt. 308	Dubai	YES
218	1889	306	true	Ap. 106. Damac Heights, apt. 2810	Dubai	YES
216	1891	304	true	Ap. 105. Candace Aster, apt. 514	Dubai	YES
212	1902	300	true	Ap. 103. Goldcrest Executive, apt. 2616	Dubai	YES
208	1905	296	true	Ap. 101. Fairview, apt. 1605	Dubai	YES
202	1898	292	true	Ap. 95. Mag 218, apt. 5108	Dubai	YES
198	1900	286	true	Ap. 100. Saba 2, apt. 2305	Dubai	YES
192	1913	280	true	Ap. 97. Princess, apt. 2002	Dubai	YES
188	1914	274	true	Ap. 91.  Bay Central 1, apt. 2508	Dubai	YES
186	1910	272	true	Ap. 90. Creek Vistas A, apt. 1809	Dubai	YES
184	1907	270	true	Ap. 89. No.9, apt. 1708	Dubai	YES
182	1915	268	true	Ap. 88. Time Place, apt. 2001	Dubai	YES
180	1911	266	true	Ap. 87. Marina Tower, apt. 3102	Dubai	YES
178	1912	264	true	Ap. 86. The Bay, apt.  1408	Dubai	YES
174	1908	260	true	Ap. 93. Sparkle tower 2, apt. 1309	Dubai	YES
162	1920	10	true	Ap. 82.  Goldcrest Executive, apt. 2117	Dubai	YES
158	1925	40	true	Ap. 80. Beach vista 2, apt. 2301	Dubai	YES
154	1923	36	true	Ap. 78. Zada tower, apt. 218	Dubai	YES
152	1926	34	true	Ap. 77. DEC Towers, apt. 10	Dubai	YES
150	1928		true	Ap. 76. The Residence at Marina Gate 2, apt. 3310	Dubai	NO
148	1922	30	true	Ap. 75. Saba 3, apt. 3110	Dubai	YES
144	1930	26	true	Ap. 73. Sobha Creek Vistas Reserve A (left side), apt. 1411	Dubai	YES
134	1937	16	true	Ap. 68. Princess tower, apt. 4410	Dubai	YES
132	1934		true	Ap. 67. GoldCrest Executive, apt. 2310	Dubai	NO
128	1968		true	Ap. 65. Yacht Bay, apt. 1504	Dubai	NO
124	1946	206	true	Ap. 63. Bonaire, apt. 2404	Dubai	YES
122	1938	204	true	Ap. 62. Princess, apt. 2704	Dubai	YES
120	1942	202	true	Ap. 61. Park Point. Block B. apt. 513	Dubai	YES
114	1944		true	Ap. 58. Burj Al Noujoum, apt. 2304	Dubai	NO
110	1939	182	true	Ap. 56. Concorde Tower, apt. 2106	Dubai	YES
104	1948	176	true	Ap. 53. Reva Residences, apt. 617	Dubai	YES
100	1947		true	Ap. 51. Jumeirah Bay X1, apt. 1008	Dubai	NO
96	1953	168	true	Ap. 49. Concorde Tower, apt. 1706	Dubai	YES
94	1954	166	true	Ap. 48. LIV Residence, apt. 203	Dubai	YES
90	1957	162	true	Ap. 46. Botanica, apt. 808	Dubai	YES
88	1951	160	true	Ap. 45. Iris Blue, apt. 2106	Dubai	YES
86	1965	158	true	Ap. 44. Studio One, apt. 2701	Dubai	YES
78	1961	150	true	Ap. 40. Marina View A, apt. 604	Dubai	YES
76	1960	148	true	Ap. 39. Dubai Gate 1, apt. 210	Dubai	YES
74	1964	146	true	Ap. 38. Al Arta 1, apt. 216	Dubai	YES
70	1967	142	true	Ap. 36. Princess Tower, apt. 807	Dubai	YES
68	1963	140	true	Ap. 35. Concorde Tower, apt. 1309	Dubai	YES
62	1973		true	Ap. 32. Princess tower, apt. 6001	Dubai	NO
50	1974	114	true	Ap. 26. Sulafa Tower, apt. 2204	Dubai	YES
38	1982	94	true	Ap. 20. Dubai Gate 1, apt. 1309	Dubai	YES
36	1984	92	true	Ap. 19. MJL Rahaal 2, apt. 506	Dubai	YES
30	1980	86	true	Ap. 16. Bahar 6, apt. 105	Dubai	YES
24	1991	80	true	Ap. 13. Al Waleed Paradise, apt. 1005	Dubai	YES
